date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Virtus Bologna,Trieste,28.213698630136985,0,12,0,2,0.000,0,1,0.0,2,4,0.5,0,1,1,1,0,0,0,0,2,0.8,-2
2018-10-14,Virtus Bologna,Milano,28.232876712328768,0,12,2,4,0.500,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,3,5,2.8,0
2018-10-21,Virtus Bologna,Avellino,28.252054794520546,0,13,0,1,0.000,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.2,7
2018-10-28,Virtus Bologna,Cremona,28.27123287671233,0,14,1,3,0.000,0,0,0.0,1,1,1.0,1,0,1,0,0,0,0,1,3,1.6,-10
2018-11-04,Virtus Bologna,Venezia,28.29041095890411,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,0,1.0,-9
2018-11-11,Virtus Bologna,Cantù,28.30958904109589,0,19,1,5,0.200,0,3,0.0,0,0,0.0,1,2,3,1,0,0,0,0,2,0.8999999999999998,11
2018-11-18,Virtus Bologna,Torino,28.328767123287673,0,6,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-0.20000000000000018,-2
2018-11-25,Virtus Bologna,Pesaro,28.34794520547945,0,12,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-0.09999999999999998,3
2018-12-09,Virtus Bologna,Sassari,28.386301369863013,0,12,1,4,0.250,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-1.5,-9
2018-12-16,Virtus Bologna,Pistoia,28.405479452054795,0,21,1,5,0.200,0,3,0.0,6,6,1.0,1,0,1,1,0,0,0,3,8,5.1000000000000005,16
2018-12-22,Virtus Bologna,Brindisi,28.421917808219177,0,31,3,5,0.600,1,1,1.0,2,2,1.0,0,4,4,0,2,0,1,2,9,8.099999999999998,0
2018-12-25,Virtus Bologna,Reggio Emilia,28.43013698630137,1,28,2,4,0.500,2,3,0.667,1,4,0.25,1,4,5,2,0,0,1,1,7,5.699999999999999,14
2018-12-30,Virtus Bologna,Trentino,28.443835616438356,1,34,3,5,0.600,2,3,0.667,1,2,0.5,0,5,5,2,0,0,1,2,9,7.399999999999999,-2
2019-01-06,Virtus Bologna,Brescia,28.46301369863014,0,15,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,0,1,0,0,3,4,2.7000000000000006,4
2019-01-13,Virtus Bologna,Varese,28.482191780821918,0,12,2,4,0.500,2,2,1.0,0,0,0.0,0,2,2,1,0,0,1,1,6,3.8999999999999995,10
2019-02-09,Virtus Bologna,Cremona,28.556164383561644,0,7,0,1,0.000,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,4,1,-1.7000000000000002,-9
2019-03-02,Virtus Bologna,Venezia,28.613698630136987,0,20,2,3,0.000,0,0,0.0,1,1,1.0,1,2,3,0,0,0,0,3,5,3.8,6
2019-03-10,Virtus Bologna,Cantù,28.635616438356166,0,15,1,4,0.250,1,4,0.25,0,0,0.0,0,0,0,0,1,0,0,0,3,1.6,-3
2019-03-17,Virtus Bologna,Torino,28.654794520547945,0,13,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,2,3,1.5000000000000002,6
2019-03-23,Virtus Bologna,Pesaro,28.671232876712327,0,11,1,1,0.000,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,2,4,3.6000000000000005,3
2019-03-31,Virtus Bologna,Sassari,28.693150684931506,0,20,0,1,0.000,0,1,0.0,3,4,0.75,0,1,1,0,0,0,1,4,3,-0.40000000000000036,-19
2019-04-07,Virtus Bologna,Pistoia,28.71232876712329,1,19,1,4,0.250,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,0.9,-1
2019-04-14,Virtus Bologna,Brindisi,28.731506849315068,0,19,1,6,0.167,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,3,2,-2.9999999999999996,-13
2019-04-20,Virtus Bologna,Reggio Emilia,28.747945205479454,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,1.2,4
2019-04-24,Virtus Bologna,Brescia,28.758904109589043,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-3
2019-04-28,Virtus Bologna,Trentino,28.76986301369863,0,16,0,2,0.000,0,1,0.0,5,6,0.833,0,1,1,2,0,0,1,2,5,3.1000000000000005,0
2019-05-12,Virtus Bologna,Varese,28.808219178082194,0,20,1,2,0.500,0,1,0.0,1,2,0.5,0,3,3,1,0,1,1,3,3,1.7000000000000002,10
